ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
CAG,Conagra Brands,US,Consumer Defensive,14.94,-60.96,7147850752,Mid,,40.0,17.02,17.97,4,2,0.000,39
CHD,Church & Dwight,US,Consumer Defensive,96.8,8.56,22929508352,Large,32.052982,55.1,98.21,91.83,0,6,0.000,58
CLX,Clorox,US,Consumer Defensive,102.045,-47.53,12447486976,Large,16.70131,41.2,112.74,114.55,4,7,0.000,53
BG,Bunge Global,US,Consumer Defensive,120.57,48.28,23367720960,Large,24.45639,45.0,122.31,97.83,2,3,0.000,54
HRL,Hormel Foods,US,Consumer Defensive,21.36,-54.81,11754071040,Large,24.000002,41.4,23.12,24.70,4,2,0.000,43
TSN,Tyson Foods,US,Consumer Defensive,64.865,-17.40,22837602304,Large,115.83035,56.9,63.11,57.81,0,6,0.000,52
EL,Estee Lauder,US,Consumer Defensive,76.34,-75.33,27614240768,Large,,44.9,89.16,94.61,5,2,0.000,33
BYND,Beyond Meat,US,Consumer Defensive,0.9073,-99.31,419523200,Small,,69.6,0.72,1.64,3,2,0.000,48
XYL,Xylem,US,Industrials,120.75,12.23,29354463232,Large,30.79847,41.5,125.26,137.23,6,0,0.000,35
GNRC,Generac Holdings,US,Industrials,217.28,-30.75,12750874624,Large,80.77323,60.0,209.35,178.05,3,6,0.000,49
TTC,Toro Company,US,Industrials,93.96,-17.13,9159280640,Mid,28.131737,46.6,96.78,82.35,2,2,0.000,52
SWK,Stanley Black & Decker,US,Industrials,75.11,-62.99,11663563776,Large,28.343395,56.0,77.27,74.38,0,4,0.000,53
AME,AMETEK,US,Industrials,236.82,80.93,54247276544,Large,37.003124,65.9,225.92,201.97,0,6,0.000,59
ROK,Rockwell Automation,US,Industrials,415.515,57.86,46717677568,Large,47.596226,68.7,383.51,373.24,0,5,0.000,53
IEX,IDEX Corp,US,Industrials,206.915,-6.99,15383680000,Large,32.330467,63.6,199.66,180.06,0,6,0.000,60
RBC,RBC Bearings,US,Industrials,595.99,209.70,18844583936,Large,70.19906,61.6,560.02,455.76,0,7,0.000,59
BLDR,Builders FirstSource,US,Industrials,90.455,89.59,10004782080,Large,23.253214,54.8,95.20,115.20,5,4,0.000,40
WSC,WillScot Holdings,US,Industrials,21.485,-24.08,3909103360,Mid,,69.2,19.73,21.87,3,2,0.000,45
RRX,Regal Rexnord,US,Industrials,207.94,45.75,13841626112,Large,49.627686,57.7,202.07,160.83,0,7,0.000,61
DOV,Dover Corp,US,Industrials,222.06,53.29,29948481536,Large,27.861982,60.5,217.82,192.98,0,5,0.000,61
WAB,Westinghouse Air Brake,US,Industrials,263.99,227.49,45016535040,Large,38.709675,58.3,253.33,217.55,0,7,0.000,62
HUBB,Hubbell,US,Industrials,543.37,192.43,28886417408,Large,32.832024,63.1,504.35,457.66,0,6,0.000,60
NDSN,Nordson,US,Industrials,282.16,36.84,15739900928,Large,30.503784,60.7,278.63,245.26,0,5,0.000,58
SNA,Snap-on,US,Industrials,382.99,63.27,19937441792,Large,19.947395,59.2,374.04,348.32,0,6,0.000,61
ALLE,Allegion,US,Industrials,145.04,9.51,12494540800,Large,19.468456,47.6,152.76,162.68,4,2,0.000,43
GGG,Graco,US,Industrials,87,14.44,14432022528,Large,28.262989,51.2,88.87,85.46,0,4,0.000,55
AOS,A.O. Smith,US,Industrials,65.405,-2.54,9044851712,Mid,16.988312,46.2,70.42,70.01,0,6,0.000,58
BWXT,BWX Technologies,US,Industrials,229.4,240.61,21015773184,Large,64.07821,57.2,209.27,186.82,0,5,0.000,48
JBHT,J.B. Hunt Transport,US,Industrials,248.87,47.81,23544117248,Large,38.584496,76.0,219.31,179.19,9,7,0.000,50
AR,Antero Resources,US,Energy,36.76,307.54,11341378560,Large,18.108374,38.6,38.41,34.75,2,2,0.000,53
RRC,Range Resources,US,Energy,41.2,370.32,9701908480,Mid,15.0363865,42.1,41.67,37.61,2,3,0.000,57
EQT,EQT Corp,US,Energy,57.45,230.55,35870781440,Large,17.359516,37.3,60.98,56.03,2,2,0.000,53
CTRA,Coterra Energy,US,Energy,31.505,92.34,23927201792,Large,14.066964,40.9,32.36,26.84,2,6,0.000,64
AM,Antero Midstream,US,Energy,21.2,145.09,10097030144,Large,24.651163,33.6,22.17,19.09,2,3,0.000,54
MUR,Murphy Oil,US,Energy,37.21,137.61,5334005760,Mid,51.680553,46.6,36.32,30.33,2,5,0.000,51
TRGP,Targa Resources,US,Energy,234.6,627.89,50427691008,Large,27.6,42.3,236.63,187.35,2,3,0.000,60
OVV,Ovintiv,US,Energy,53.36,144.77,15127279616,Large,11.169456,41.8,53.87,43.44,2,5,0.000,67
DKNG,DraftKings,US,Communication,22.98,-58.75,11382254592,Large,,47.5,23.73,34.05,5,4,0.000,36
PENN,Penn Entertainment,US,Communication,15.73,-82.33,2101350528,Mid,,58.8,14.33,16.05,3,2,0.000,45
MTCH,Match Group,US,Communication,35.56,-74.55,0,Small,14.936974,71.7,31.51,33.27,12,3,0.000,41
ZG,Zillow Group,US,Communication,46.79,-64.47,11266710528,Large,519.7778,61.1,44.22,65.85,6,2,0.000,24
IMAX,IMAX Corp,US,Communication,35.59,71.60,1921611392,Small,56.492065,38.2,38.15,33.74,2,4,0.000,43
YELP,Yelp,US,Communication,28.05,-26.44,1724850304,Small,12.522321,76.9,24.06,29.43,10,2,0.000,38
WEC,WEC Energy Group,US,Utilities,116.49,17.49,37940748288,Large,24.218294,52.9,115.36,110.93,2,4,0.000,53
ES,Eversource Energy,US,Utilities,69.21,-23.59,26012256256,Large,15.177631,45.8,71.19,68.87,0,6,0.000,60
ATO,Atmos Energy,US,Utilities,187.37,79.15,30998294528,Large,24.428944,53.6,183.92,171.60,2,4,0.000,54
NI,NiSource,US,Utilities,48.4,84.87,23161006080,Large,24.820513,62.6,46.60,43.36,0,6,0.000,61
EVRG,Evergy,US,Utilities,82.765,27.70,19059466240,Large,22.613388,54.9,81.74,75.87,2,6,0.000,58
MLM,Martin Marietta Materials,US,Materials,626.012,81.66,37756080128,Large,38.264805,56.1,626.74,618.83,0,4,0.000,51
CF,CF Industries,US,Materials,114.415,147.49,17570492416,Large,12.746933,43.5,114.52,93.01,2,6,0.000,64
MOS,Mosaic Company,US,Materials,24,-25.49,7621962752,Mid,14.105882,40.7,27.00,29.27,7,0,0.000,35
RPM,RPM International,US,Materials,109.26,16.99,13993548800,Large,21.052023,59.2,106.75,111.72,3,2,0.000,47
EMN,Eastman Chemical,US,Materials,73.888,-34.07,8441310720,Mid,18.004879,53.1,73.86,68.06,0,7,0.000,65
FMC,FMC Corp,US,Materials,17.1,-84.87,2138270080,Mid,,56.0,15.37,23.85,5,0,0.000,33
STLD,Steel Dynamics,US,Materials,210.76,320.51,30535413760,Large,26.377972,74.9,186.51,159.41,7,7,0.000,57
LC,LendingClub,US,Fintech,17.67,30.70,2037376512,Mid,15.232759,72.8,15.20,16.50,10,2,0.000,38
RELY,Remitly Global,US,Fintech,20.235,-61.75,4262591488,Mid,65.27419,78.8,16.13,15.86,9,6,0.000,43
